Time,Zip,Lat,Long,Pers i,Pers K,Ped i,Ped K,Cyc i,Cyc K,Mot i,Mot K
1.6,0.001,0.2168939,0.255216,0,0,0,0,0,0,0,0
0.8,1.202,0.1502163,0.3027478,6,0,0,0,0,0,6,0
1.125,1.218,0.1275329,0.2358737,2,0,0,0,0,0,2,0
1.633,1.208,0.1203826,0.2155867,0,0,0,0,0,0,0,0
1.9,1.219,0.1349966,0.2188885,1,0,0,0,0,0,1,0
1.8,1.208,0.1281855,0.2131231,0,0,0,0,0,0,0,0
1.614,1.208,0.1268109,0.2155374,0,0,0,0,0,0,0,0
1.75,1.227,0.1162149,0.224107,0,0,0,0,0,0,0,0
0.005,1.208,0.1305777,0.2200645,1,0,0,0,0,0,1,0
2.04,1.227,0.1171268,0.2286346,0,0,0,0,0,0,0,0
2.315,1.219,0.1301923,0.2314709,0,0,0,0,0,0,0,0
0.624,1.235,0.1523443,0.3441914,0,0,0,0,0,0,0,0
0.819,1.235,0.1367897,0.3409608,1,0,0,0,0,0,1,0
1.445,1.225,0.1528838,0.2776522,0,0,0,0,0,0,0,0
0.837,1.229,0.1325925,0.2746149,0,0,0,0,0,0,0,0
0.431,0.002,0.2280762,0.2545508,0,0,0,0,0,0,0,0
2.05,1.224,0.1595389,0.2882597,0,0,0,0,0,0,0,0
1.75,1.202,0.1612851,0.3044592,0,0,0,0,0,0,0,0
1.224,1.214,0.1594683,0.251164,1,0,0,0,0,0,1,0
1.202,1.219,0.1426471,0.2231487,5,0,0,0,0,0,5,0
1.04,1.231,0.1496633,0.2266172,0,0,0,0,0,0,0,0
0.72,1.231,0.1622381,0.2435157,0,0,0,0,0,0,0,0
0.815,1.219,0.1383711,0.2256325,0,0,0,0,0,0,0,0
0.83,1.231,0.1531995,0.2373815,0,0,0,0,0,0,0,0
0.65,1.219,0.14713,0.2277998,0,0,0,0,0,0,0,0
0.815,1.232,0.1750799,0.3337101,0,0,0,0,0,0,0,0
0.63,0.008,0.2288964,0.2582637,0,0,0,0,0,0,0,0
0.42,1.206,0.1795549,0.3391784,2,0,0,0,0,0,2,0
0.836,1.215,0.1687546,0.2912978,1,0,0,0,0,0,1,0
1.65,1.215,0.177613,0.2888131,1,0,0,0,0,0,1,0
1.945,1.214,0.1712085,0.2647419,0,0,0,0,0,0,0,0
0.63,1.214,0.1740643,0.2571001,0,0,0,0,0,0,0,0
1.93,1.204,0.1977094,0.2838397,1,0,0,0,0,0,1,0
1.82,1.237,0.1780942,0.2865061,0,0,0,0,0,0,0,0
1.81,1.232,0.1793667,0.3195215,0,0,0,0,0,0,0,0
1.605,0.01,0.2411446,0.2410963,0,0,0,0,0,0,0,0
1.75,1.2,0.2018835,0.2470909,2,0,0,0,0,0,2,0
2,1.2,0.189249,0.2520625,4,0,0,0,0,0,4,0
1.41,0.017,0.2547586,0.2435903,0,0,0,0,0,0,0,0
0.03,1.2,0.1961214,0.2567048,0,0,0,0,0,0,0,0
1.045,1.237,0.1814839,0.2791567,1,0,0,0,0,0,1,0
0.72,1.237,0.1800105,0.2773784,0,0,0,0,0,0,0,0
0.9,1.21,0.2094778,0.2867002,0,0,0,0,0,0,0,0
2.133,1.205,0.2075672,0.3048201,0,0,0,0,0,0,0,0
1.92,1.221,0.2221157,0.3025646,0,0,0,0,0,0,0,0
1.65,1.221,0.2293539,0.2903181,0,0,0,0,0,0,0,0
2.338,1.21,0.2161708,0.2834798,0,0,0,0,0,0,0,0
1.334,1.221,0.2257804,0.2830239,0,0,0,0,0,0,0,0
2.225,1.221,0.2328785,0.2895413,0,0,0,0,0,0,0,0
1.65,1.69,0.0997424,0.483866,0,0,0,0,0,0,0,0
1.51,1.42,0.1925525,0.3896361,4,0,0,0,0,0,4,0
0.638,1.418,0.1894331,0.4178854,0,0,0,0,0,0,0,0
2,1.42,0.1887318,0.3917299,0,0,0,0,0,0,0,0
1.43,1.417,0.1959728,0.4113284,0,0,0,0,0,0,0,0
1.82,1.417,0.1977142,0.3947975,0,0,0,0,0,0,0,0
0.945,1.432,0.1979036,0.4460774,0,0,0,0,0,0,0,0
0.8,1.422,0.2121721,0.4757505,0,0,0,0,0,0,0,0
2.343,1.432,0.2009923,0.4532027,2,0,0,0,0,0,2,0
1.62,1.422,0.2170286,0.4845445,0,0,0,0,0,0,0,0
1.93,1.422,0.2161793,0.4744659,2,0,0,0,0,0,2,0
1.53,1.422,0.2192188,0.4806599,0,0,0,0,0,0,0,0
0.715,1.418,0.1902644,0.4319185,0,0,0,0,0,0,0,0
0.03,1.422,0.2085622,0.46777,0,0,0,0,0,0,0,0
0.623,0.01,0.2421022,0.2331858,1,0,0,0,0,0,1,0
1.439,1.378,0.2115369,0.3424463,0,0,0,0,0,0,0,0
0.84,1.384,0.2081787,0.3806353,0,0,0,0,0,0,0,0
1.313,1.421,0.157864,0.497582,0,0,0,0,0,0,0,0
1.23,1.413,0.1563895,0.4023363,0,0,0,0,0,0,0,0
0.6,1.366,0.2161666,0.4164842,0,0,0,0,0,0,0,0
1.83,1.366,0.2253796,0.4311059,0,0,0,0,0,0,0,0
1.8,1.374,0.2142002,0.4154185,0,0,0,0,0,0,0,0
1.81,1.434,0.2032931,0.4273607,0,0,0,0,0,0,0,0
1.13,1.434,0.2113757,0.4243749,0,0,0,0,0,0,0,0
0.85,1.431,0.2179851,0.4662904,1,0,0,0,0,0,1,0
1.13,1.366,0.2360303,0.4271055,2,0,0,0,0,0,2,0
1.124,1.431,0.2080459,0.4411417,0,0,0,0,0,0,0,0
1.3,1.431,0.2095997,0.4487608,0,0,0,0,0,0,0,0
1.1,1.431,0.2103605,0.4326215,0,0,0,0,0,0,0,0
1.326,1.434,0.21528,0.4235812,0,0,0,0,0,0,0,0
0.92,1.434,0.207716,0.42496,0,0,0,0,0,0,0,0
0.5,1.431,0.2106075,0.4515847,0,0,0,0,0,0,0,0
0.227,1.1,0.2385652,0.3072239,0,0,0,0,0,0,0,0
0.415,1.376,0.2391625,0.3459488,2,0,0,0,0,0,2,0
2.35,1.355,0.2754998,0.3973989,0,0,0,0,0,0,0,0
1.928,1.372,0.2437598,0.3655197,0,0,0,0,0,0,0,0
1.51,1.372,0.2323873,0.3714306,1,0,0,0,0,0,1,0
1.42,0,0.2426867,0.2527889,0,0,0,0,0,0,0,0
2.24,1.363,0.2400052,0.4844478,1,0,0,0,0,0,1,0
2.25,1.372,0.2452077,0.3717551,0,0,0,0,0,0,0,0
1.04,1.361,0.267975,0.510128,0,0,0,0,0,0,0,0
0.84,1.36,0.2709926,0.4673248,0,0,0,0,0,0,0,0
1.1,1.362,0.2642488,0.4975177,0,0,0,0,0,0,0,0
0.7,1.362,0.26115,0.4848172,1,0,0,0,0,0,1,0
0.34,1.361,0.2478179,0.5099458,0,0,0,0,0,0,0,0
0.91,1.357,0.2676668,0.449342,0,0,0,0,0,0,0,0
0.61,1.374,0.2072999,0.3961288,0,0,0,0,0,0,0,0
0.707,1.374,0.2203435,0.3978221,0,0,0,0,0,0,0,0
2.33,1.411,0.19348,0.4798212,0,0,0,0,0,0,0,0
0.85,1.368,0.2607025,0.3735072,0,0,0,0,0,0,0,0
1.63,1.433,0.1868284,0.4521734,2,0,0,0,0,0,2,0
1.33,1.432,0.1933595,0.4603367,1,0,0,0,0,0,1,0
1,1.412,0.1674512,0.485085,0,0,0,0,0,0,0,0
1.93,0.015,0.2459684,0.2604585,2,0,0,0,0,0,2,0
1.8,0.016,0.2536727,0.2618648,1,0,0,0,0,0,1,0
2.025,0.453,0.3096177,0.3171521,0,0,0,0,0,0,0,0
2.222,0.467,0.3602424,0.3440632,2,0,0,0,0,0,2,0
1.434,1.233,0.1276605,0.3235575,2,0,0,0,0,0,2,0
2.253,1.225,0.1512039,0.2857889,1,0,0,0,0,0,1,0
1.955,1.216,0.1789722,0.270405,1,0,0,0,0,0,1,0
1.83,1.364,0.2408999,0.4335606,0,0,0,0,0,0,0,0
2.045,0.074,0.2738566,0.2850034,0,0,0,0,0,0,0,0
2.355,0.032,0.3456932,0.3099497,0,0,0,0,0,0,0,0
1.055,0.452,0.3562162,0.3372789,1,0,1,0,0,0,0,0
0.14,1.377,0.2212626,0.3311546,1,0,0,0,0,0,1,0
1.8,1.384,0.1903256,0.3511769,0,0,0,0,0,0,0,0
1.735,1.377,0.2255909,0.3414718,0,0,0,0,0,0,0,0
1.3,0.02,0.2692801,0.2876865,0,0,0,0,0,0,0,0
1.817,1.229,0.1182873,0.2722341,0,0,0,0,0,0,0,0
2.35,1.357,0.2577847,0.4357281,2,0,0,0,0,0,2,0
1.82,0.012,0.2208579,0.2335674,0,0,0,0,0,0,0,0
0.55,0.035,0.2556603,0.2590896,0,0,0,0,0,0,0,0
0.615,1.69,0.1100343,0.4933073,0,0,0,0,0,0,0,0
0.83,1.384,0.1964813,0.3398703,0,0,0,0,0,0,0,0
0.715,0.029,0.322537,0.2979556,0,0,0,0,0,0,0,0
1.13,0.064,0.2662328,0.2731284,0,0,0,0,0,0,0,0
1.7,0.028,0.295687,0.2946247,0,0,0,0,0,0,0,0
0.45,0.039,0.3615034,0.3132016,2,0,0,0,0,0,2,0
1.918,0.027,0.2770287,0.2873163,0,0,0,0,0,0,0,0
1.022,0.46,0.3366073,0.3962408,0,0,0,0,0,0,0,0
1.6,1.427,0.2227842,0.4985347,1,0,0,0,0,0,1,0
1.045,0.452,0.35103,0.3211029,0,0,0,0,0,0,0,0
0.413,1.384,0.1987153,0.3550315,0,0,0,0,0,0,0,0
1.51,1.384,0.2034965,0.3435559,0,0,0,0,0,0,0,0
0.52,1.233,0.1184373,0.3245368,4,0,0,0,0,0,4,0
1.559,1.219,0.1372055,0.2351775,0,0,0,0,0,0,0,0
2.2,0.012,0.2192079,0.2296317,0,0,0,0,0,0,0,0
1.94,0.064,0.2636219,0.2754412,0,0,0,0,0,0,0,0
1.917,0.033,0.3612851,0.3237868,0,0,0,0,0,0,0,0
1.84,1.372,0.2332662,0.3683833,0,0,0,0,0,0,0,0
2.04,0.455,0.3176482,0.3330507,1,0,0,0,0,0,1,0
1.73,0.467,0.3581985,0.3429611,1,0,0,0,1,0,0,0
1.43,0.023,0.2866818,0.2705777,0,0,0,0,0,0,0,0
0.7,0.456,0.345534,0.3371118,1,0,1,0,0,0,0,0
1.325,0.459,0.3411572,0.3570521,1,0,0,0,0,0,1,0
1.215,0.018,0.2703541,0.2474538,0,0,0,0,0,0,0,0
1.717,0.038,0.326141,0.3031077,0,0,0,0,0,0,0,0
1.407,0.032,0.3470101,0.3109161,0,0,0,0,0,0,0,0
2.13,1.234,0.080486,0.2947569,0,0,0,0,0,0,0,0
1.015,1.384,0.2006605,0.3411027,0,0,0,0,0,0,0,0
