DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
8/20/2014,1.115,MANHATTAN,0.018,0.266706,0.2522946,"(40.767816, -73.989505)",WEST 55 STREET,10 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,1011067,MOTORCYCLE,VAN,TAXI,,
8/21/2014,0.938,MANHATTAN,0.023,0.2901337,0.262403,"(40.791244, -73.979397)",WEST 88 STREET,RIVERSIDE DRIVE,,0,0,0,0,0,0,0,0,Lost Consciousness,Lost Consciousness,,,,1011642,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
8/20/2014,1.238,BROOKLYN,1.215,0.1690145,0.2865288,"(40.670125, -73.955271)",BEDFORD AVENUE,EASTERN PARKWAY,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1011781,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
8/20/2014,2.1,BROOKLYN,1.214,0.171559,0.2517858,"(40.672669, -73.990014)",7 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,Other Vehicular,,,1011808,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
8/21/2014,1.915,MANHATTAN,0.012,0.21617,0.2463706,"(40.71728, -73.995429)",BOWERY,HESTER STREET,,0,0,0,0,0,0,0,0,Illness,Other Vehicular,Other Vehicular,,,1012016,TAXI,VAN,SPORT UTILITY / STATION WAGON,,
8/21/2014,1.4,MANHATTAN,0,0.2474021,0.2530856,"(40.748512, -73.988714)",WEST 32 STREET,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Turning Improperly,Turning Improperly,Turning Improperly,,,1012057,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
8/22/2014,0.001,MANHATTAN,0.018,0.2599262,0.2547843,"(40.761036, -73.987016)",WEST 48 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Turning Improperly,Turning Improperly,,,1012074,TAXI,PEDICAB,PASSENGER VEHICLE,,
8/23/2014,0.73,QUEENS,1.353,0.2637588,0.4298432,"(40.764869, -73.811957)",NORTHERN BOULEVARD,153 STREET,,1,0,0,0,0,0,1,0,Fell Asleep,Fell Asleep,Fell Asleep,,,1012800,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
8/17/2014,2.25,MANHATTAN,0.027,0.2760836,0.2895615,"(40.777194, -73.952238)",EAST 85 STREET,2 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Turning Improperly,Other Vehicular,Other Vehicular,,1012953,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,MOTORCYCLE,SPORT UTILITY / STATION WAGON,
8/24/2014,1.83,BROOKLYN,1.235,0.1487845,0.3341856,"(40.649895, -73.907614)",ROCKAWAY PARKWAY,AVENUE D,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Driver Inattention/Distraction,Driver Inattention/Distraction,,,1013481,MOTORCYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
