DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/20/2016,11:00,MANHATTAN,10016,40.7460781,-73.9749359,"(40.746078, -73.974936)",2 AVENUE,EAST 36 STREET,,4,0,0,0,0,0,4,0,Lost Consciousness,Lost Consciousness,Lost Consciousness,,,3407900,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/21/2016,15:10,MANHATTAN,10022,40.7576386,-73.9634098,"(40.757639, -73.96341)",EAST 56 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3407921,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/22/2016,20:10,MANHATTAN,10022,40.7583736,-73.9709932,"(40.758374, -73.970993)",EAST 53 STREET,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3407937,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/20/2016,1:50,MANHATTAN,10019,40.7617706,-73.979056,"(40.761771, -73.979056)",AVENUE OF THE AMERICAS,WEST 53 STREET,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3408076,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/18/2016,0:12,MANHATTAN,10019,40.7622904,-73.9861058,"(40.76229, -73.986106)",WEST 50 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3408085,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/25/2016,13:25,MANHATTAN,10019,40.76546,-73.9819897,"(40.76546, -73.98199)",WEST 56 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3408130,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/03/2016,1:50,MANHATTAN,10020,40.7598989,-73.9804246,"(40.759899, -73.980425)",WEST 50 STREET,AVENUE OF THE AMERICAS,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,3408262,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/15/2016,2:37,MANHATTAN,10019,40.7629678,-73.9818929,"(40.762968, -73.981893)",WEST 53 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3408388,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/13/2016,9:49,MANHATTAN,10022,40.758537,-73.9772016,"(40.758537, -73.977202)",WEST 50 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,Fatigued/Drowsy,,,3408399,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/18/2016,8:55,MANHATTAN,10019,40.7691169,-73.9885593,"(40.769117, -73.988559)",WEST 57 STREET,10 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Driver Inattention/Distraction,,,3408402,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
