Pers K,Pers i,Mot i,Mot K,Zip,Long,Lat,Ped i,Time,Cyc i
0,0,0,0,1.377,0.3414718,0.2255909,0,1.735,0
0,0,0,0,0.02,0.2876865,0.2692801,0,1.3,0
0,0,0,0,1.229,0.2722341,0.1182873,0,1.817,0
0,2,2,0,1.357,0.4357281,0.2577847,0,2.35,0
0,0,0,0,0.012,0.2335674,0.2208579,0,1.82,0
0,0,0,0,0.035,0.2590896,0.2556603,0,0.55,0
0,0,0,0,1.69,0.4933073,0.1100343,0,0.615,0
0,0,0,0,1.384,0.3398703,0.1964813,0,0.83,0
0,0,0,0,0.029,0.2979556,0.322537,0,0.715,0
0,0,0,0,0.064,0.2731284,0.2662328,0,1.13,0
0,0,0,0,0.028,0.2946247,0.295687,0,1.7,0
0,2,2,0,0.039,0.3132016,0.3615034,0,0.45,0
0,0,0,0,0.027,0.2873163,0.2770287,0,1.918,0
0,0,0,0,0.46,0.3962408,0.3366073,0,1.022,0
0,1,1,0,1.427,0.4985347,0.2227842,0,1.6,0
0,0,0,0,0.452,0.3211029,0.35103,0,1.045,0
0,0,0,0,1.384,0.3550315,0.1987153,0,0.413,0
0,0,0,0,1.384,0.3435559,0.2034965,0,1.51,0
0,4,4,0,1.233,0.3245368,0.1184373,0,0.52,0
0,0,0,0,1.219,0.2351775,0.1372055,0,1.559,0
0,0,0,0,0.012,0.2296317,0.2192079,0,2.2,0
0,0,0,0,0.064,0.2754412,0.2636219,0,1.94,0
0,0,0,0,0.033,0.3237868,0.3612851,0,1.917,0
0,0,0,0,1.372,0.3683833,0.2332662,0,1.84,0
0,1,1,0,0.455,0.3330507,0.3176482,0,2.04,0
0,1,0,0,0.467,0.3429611,0.3581985,0,1.73,1
0,0,0,0,0.023,0.2705777,0.2866818,0,1.43,0
0,1,0,0,0.456,0.3371118,0.345534,1,0.7,0
0,1,1,0,0.459,0.3570521,0.3411572,0,1.325,0
0,0,0,0,0.018,0.2474538,0.2703541,0,1.215,0
0,0,0,0,0.038,0.3031077,0.326141,0,1.717,0
0,0,0,0,0.032,0.3109161,0.3470101,0,1.407,0
0,0,0,0,1.234,0.2947569,0.080486,0,2.13,0
0,0,0,0,1.384,0.3411027,0.2006605,0,1.015,0
0,0,0,0,1.217,0.2588075,0.1402155,0,2.052,0
0,0,0,0,0.064,0.2783745,0.2607473,0,1.425,0
0,0,0,0,1.421,0.5032338,0.1652869,0,1.808,0
0,0,0,0,1.363,0.4873338,0.2465947,0,2,0
